trans_id,lang,translation
"Ruoholahti (Selkämerenkatu)",sv,"Gräsviken (Bottenhavsgatan)"
"Karamzinin koulu",fi,"Karamzinin koulu"
"Keravan asema, lait. 3",fi,"Keravan asema, lait. 3"
"Synapsia",sv,"Synapsia"
"Nevaniityntie",sv,"Mossängsvägen"
"Rinnekodintie",sv,"Rinnehemsvägen"
"Seivästie 4",sv,"Hoppstavsvägen 4"
"Kivikonla-Kontula(M)",fi,"Kivikonla-Kontula(M)"
"Tuluskuja",fi,"Tuluskuja"
"Pilotti",fi,"Pilotti"
"Mosabackantie",fi,"Mosabackantie"
"Vantaanportti",sv,"Vandaporten"
"Toinen linja 25",fi,"Toinen linja 25"
"Sörnäinen (M)",sv,"Sörnäs (M)"
"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)",fi,"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)"
"Miilumäki",fi,"Miilumäki"
"Lintuvaaran koulu",sv,"Lintuvaaran koulu"
"Kamppi-Jakomäki",fi,"Kamppi-Jakomäki"
"Majavankierros",fi,"Majavankierros"
"Töölöntori",sv,"Tölötorg"
"Testipysäkintie 3",fi,"Testipysäkintie 3"
"Mellunmäki - Hakunila - Myyrmäki",fi,"Mellunmäki - Hakunila - Myyrmäki"
"Lauttasaari-Mankkaa",fi,"Lauttasaari-Mankkaa"
"Runeberginkatu 30",fi,"Runeberginkatu 30"
"Pirkkolan Liikuntap.",fi,"Pirkkolan Liikuntap."
"Salpausseläntie 11",fi,"Salpausseläntie 11"
"Hansatie",sv,"Hansavägen"
"Jätkäs-Ooppera",fi,"Jätkäs-Ooppera"
"Elielinaukio-Hakunin",fi,"Elielinaukio-Hakunin"
"Länsiterminaali -  Rautatieasema - Sörnäinen (M) - Arabia",fi,"Länsiterminaali -  Rautatieasema - Sörnäinen (M) - Arabia"
"Visbynkatu",fi,"Visbynkatu"
"Niittyrinne",fi,"Niittyrinne"
"Uranuksenkuja",fi,"Uranuksenkuja"
"Piippolanpolku 8",fi,"Piippolanpolku 8"
"Hankasuontie",fi,"Hankasuontie"
"Soidintie",fi,"Soidintie"
"Malmi",fi,"Malmi"
"Saarniraiviontie",fi,"Saarniraiviontie"
"Punametsän talli",fi,"Punametsän talli"
"Timpurinkuja",sv,"Timmermansgränden"
"Sumatrantie",sv,"Sumatravägen"
"Kuninkaantie 28",fi,"Kuninkaantie 28"
"Valimotie 1",sv,"Gjuterivägen 1"
"Karantie",sv,"Karavägen"
"PohjHaaga-Munkkiv",fi,"PohjHaaga-Munkkiv"
"Rautatientori-Aviapolis-Hyrylä-Kerava",sv,"Järnvägstorget-Aviapolis-Hyrylä-Kervo"
"Karamäki",fi,"Karamäki"
"Taistelukoulu",fi,"Taistelukoulu"
"Traverssikuja",fi,"Traverssikuja"
"Kummelirannanportti",fi,"Kummelirannanportti"
"Högberg",fi,"Högberg"
"Brusaksentie",fi,"Brusaksentie"
"Kiillekatu",fi,"Kiillekatu"
"Malminkartanon as.",sv,"Malmgård station"
"Myllärintie",sv,"Mjölnarvägen"
"Karviaistie",sv,"Stickelvägen"
"Länsiterminaali",fi,"Länsiterminaali"
"Viikinm. puhdistamo",fi,"Viikinm. puhdistamo"
"Lastutie",fi,"Lastutie"
"Ripusuontie",sv,"Ripukärrsvägen"
"Hiekkajaalanpolku",sv,"Sandskutsstigen"
"Hellapolku",sv,"Spisstigen"
"Järvenp-Linja-Kellok",fi,"Järvenp-Linja-Kellok"
"Ensi linja",fi,"Ensi linja"
"Margareetankuja",fi,"Margareetankuja"
"Vattuniemenkatu 2",sv,"Hallonnäsgatan 2"
"Kirkkotie - Sepänkylä - Gallträsk - Kasavuori - Kirkkotie",fi,"Kirkkotie - Sepänkylä - Gallträsk - Kasavuori - Kirkkotie"
"Pukinmäen aukio",fi,"Pukinmäen aukio"
"Tarkk ampujankatu 2",sv,"Skarpskyttegatan 2"
"Rautatientori - Puotila - Mellunmäki - Kontula(Kotikonnunt.)",sv,"Järnv.torget - Botby gård - Mellungsb. - Gårdsb.(Hemgårdsv.)"
"Ravals",fi,"Ravals"
"Munkkin. uimaranta",sv,"Munksnäs badstrand"
"Pihlajamäki-Pornainen-Nikkilä-Rautatientori",sv,"Pihlajamäki-Borgnäs-Nickby-Järnvägstorget"
"Vanhankartanontie",sv,"Gammelgårdsvägen"
"Pikkalantie",fi,"Pikkalantie"
"Kauniaistentie 11",fi,"Kauniaistentie 11"
"Laivanrakentajantie",sv,"Skeppsbyggarvägen"
"Oulunkylän sairaala",fi,"Oulunkylän sairaala"
"Sirkkalankuja",fi,"Sirkkalankuja"
"Helsinki-Lahti",sv,"Helsingfors-Lahtis"
"Lounapolku",fi,"Lounapolku"
"Damsinrinne",fi,"Damsinrinne"
"Ruosilantie",sv,"Rosasvägen"
"Puosunrinne",sv,"Båtsmansbrinken"
"Pohjantähdentie",sv,"Polstjärnevägen"
"Pihlajiston ostosk.",sv,"Rönninge köpcentrum"
"Kivikon hiihtohalli",sv,"Stensböle skidhall"
"Peltovuorenkuja",sv,"Åkerbergsgränden"
"Jollaksentie 69",fi,"Jollaksentie 69"
"Opintie",fi,"Opintie"
"Siikajärventie",sv,"Siikajärvivägen"
"Länsisalmi-Sotungin koulu",sv,"Västersundom-Sotungin koulu"
"Syväoja",sv,"Syväoja"
"Nikkilä - Savijärvi",sv,"Nickby - Savijärvi"
"Vaakkola",sv,"Vaakkola"
"Kunnarlantie 31",fi,"Kunnarlantie 31"
"Poikkitie",sv,"Poikkitie"
"Ludviginkatu",sv,"Ludvigsgatan"
"Eestinkallio",sv,"Estberget"
"Kurtinmäentie",sv,"Kurtbacksvägen"
"Kuntakeskus- Siuntion kk.-Raivio",sv,"Kommuncentrum-Sjundeå k:by-Rödjan"
"Pasilan asema",fi,"Pasilan asema"
"Hösmärinmäki",sv,"Hösmärbacken"
"Kauniainen",sv,"Grankulla"
"Seurasaarentie 3",fi,"Seurasaarentie 3"
"Ulvilantie 15",fi,"Ulvilantie 15"
"Koivupuistonkuja",sv,"Björkparksgränden"
"Brusaksentie",sv,"Brusasvägen"
"Vanha kaupungin talo",sv,"Vanha kaupungin talo"
"Pihlajamäki-Pornainen-Nikkilä-Rautatientori",fi,"Pihlajamäki-Pornainen-Nikkilä-Rautatientori"
"Karantie",fi,"Karantie"
"Alakartanontie",sv,"Nedergårdsvägen"
"Kuninkaantie 28",sv,"Kungsvägen 28"
"Raudunkulma",fi,"Raudunkulma"
"Lövkoskentie",fi,"Lövkoskentie"
"Naantalintie",sv,"Nådendalsvägen"
"Krattivuori",sv,"Skrattberget"
"Metsäpirtintie",sv,"Metsäpirttivägen"
"Vuoriharjuntie 30",fi,"Vuoriharjuntie 30"
"Bredantie 16",fi,"Bredantie 16"
"Mäyräkuja",fi,"Mäyräkuja"
"Haapaniemi",fi,"Haapaniemi"
"Luoteisväylä",fi,"Luoteisväylä"
"Sahasaari",fi,"Sahasaari"
"Kinnarinkatu",fi,"Kinnarinkatu"
"Martinl-Kirkka",sv,"Mårtensdal-Kirkka"
"Laituri 10",sv,"Plattform 10"
"Juvan teollisuuskatu",sv,"Juva industrigatan"
"Skogby",sv,"Skogby"
"Kurk",sv,"Kurk"
"Fleminginkatu 1",sv,"Flemingsgatan 1"
"Haapasaarentie",sv,"Aspholmsvägen"
"Kustaantie",sv,"Gustavsvägen"
